text,daya_tarik,amenitas,aksesibilitas,citra,harga,sdm
Hutan kota di Palembang. Mantap,netral,none,none,positif,none,none
"hutan kota nya masih alami, harus sering diadakan even2 biar menambah daya tarik nya",netral,none,none,positif,none,none
"Hutan Kota Palembang, dulu pernah ospek disini😂 …",netral,none,none,none,none,none
"Hutan kota punti kayu tempat yang cocok buat wisata bareng keluarga, teman, dan tentunya pacar. Disana kalian bisa piknik bareng, mengunjungi kebun binatang, atau hanya sekedar menikmati udara yang segar dengan view hutan pinus.",positif,none,none,positif,none,none
"Hutan kota seperti ragunan Bogor. Tempat untuk rekreasi bersama keluarga, cukup menghibur dan lumayan asik untuk bersantai jika ingin menikmati pemandangan hutan. Bagus juga untuk berfoto disini.",positif,none,none,positif,none,none
"Hutan kota terakhir di palembang berpadu dengan taman hiburan yang menyeramkan, lebih baik hilangkan mainan menyeramkan tersebut dan ubah menjadi pengalaman outdoor sambil menikmati udara segar",negatif,none,none,negatif,none,none
Hutan kota tmpt wisata..,netral,none,none,none,none,none
"Hutan kota yang harus dipertahankan, bagus untuk keluarga (khususnya anak), tiket masuk yang lumayan mahal karna didalam harus bayar lagi, sempet kelewat dan puter balik karna pintu masuk yang tidak menarik, tapi ini punya potensi yang besar untuk pemerintah mengembangkannya",netral,none,negatif,netral,negatif,none
"Hutan Kota Yang luas, sayangnya kurang terawat dan becek kalau habis hujan.",netral,none,none,negatif,none,none
"Hutan kota yang rekoment untuk hunting, piknik pokoknya happy sama keluarga sama teman teman ... Apalagi ajak pasangan biar momentnya lope lope guys",positif,none,none,positif,none,none
"Hutan kota, Dipinggir jalan, terdapat beberapa wahana, buka setiap hari",netral,none,none,none,none,none
"Hutan kota, tapi sayang tidak di kelola dengan baik",netral,none,none,negatif,none,none
Hutan kota???,netral,none,none,none,none,none
Hutan lindung di pinggir kota Palembang. Nice place to hangout,netral,none,none,positif,none,none
Hutan lindung...paru-paru kota..keren.....sayang kurang terawat mungkin efek pandemi....,positif,none,none,netral,none,none
Hutan penjaga keseimbangan,netral,none,none,none,none,none
Hutan pinus & konservasi alam di tengah padatnya kota palembang. Suasana sejuk bisa kita dapatkan disini. Sayangnya fasilitas tidak dirawat dengan baik. Perlu perhatian & kerjasama antar pengelola & kesadaran pribadi pengunjung.,netral,negatif,none,netral,none,none
"Hutan pinus asri, tarif masuk waktubliburan akhir tahun -/+10 org 95 ribu",netral,negatif,none,none,netral,none
Hutan Pinus dalam kota Palembang,netral,none,none,none,none,none
Hutan pinus di dalam kota,netral,none,none,none,none,none
Hutan pinus ditengah kota amazing..asri banget adem viewnya,positif,none,none,positif,none,none
Hutan pinus yang buat kangen dan betah,positif,none,none,none,none,none
Hutan pinusnya tidak terawat bnyak potongan bambu dan area miniatur jg sdah bnyak rusak,negatif,none,none,none,none,none
Hutan pusat kota,netral,none,none,none,none,none
"Hutan taman wisata yang terletak di kota palembang, walaupun sekarang sudah tidak seramai dahulu, tetapi kenagannya akan tetap ada...",netral,none,none,netral,none,none
"Hutan tengah kota . Suasananya nyaman , sudah banyak wahana baru , ad tempat selfie mancanegara . Kalo ditatablagi pasti jadi lebih bagus.",positif,none,none,positif,none,none
"Hutan tengah kota, adem tapi banyak nyamuk sama monyet liar",netral,none,none,netral,none,none
"hutan tengah kota, tempatnya strategis, pengelolaannya perlu diperbaiki dan fasilitas penunjang harus dilengkapi",netral,negatif,none,negatif,none,none
Hutan terakhir di kota,netral,none,none,none,none,none
Hutan wisata,netral,none,none,none,none,none
Hutan wisata di dalam kota Palembang,netral,none,none,none,none,none
"Hutan wisata di dalam kota,legend punya palembang",netral,none,none,none,none,none
"Hutan wisata di Palembang,tapi sekarang sudah tak sebagus dulu",netral,none,none,negatif,none,none
"Hutan wisata di tengah kota Palembang, buat yang ingin merasakan udara segar layaknya di hutan Pinus boleh ajak keluarga kesini.",netral,none,none,positif,none,none
"Hutan wisata di tengah kota, ada wahana bermain dan edukasi alam di dalamnya, juga ada tempat menarik untuk foto-foto yang di antaranya berupa replika bangunan-bangunan terkenal. Sayang pemeliharaannya kurang. Cukup banyak monyet yang berkeliaran bebas di hutan ini, hati-hati dengan barang bawaan anda, terutama yang berupa makanan. Tersedia mushola dan toilet di hutan wisata ini.",positif,positif,none,netral,none,none
Hutan wisata dikota Palembang,netral,none,none,none,none,none
"Hutan wisata ditengah kota palembang, cocok untuk wisata keluarga",positif,none,none,positif,none,none
"Hutan Wisata Punti Kayu sekarang lebih banyak spot foto untuk pengunjung. Protokol kesehatannya sudah bagus. Dari awal masuk gerbang, pengunjung harus menerapkan protokol kesehatan. Pengelola menyiapkan pendeteksi suhu tubuh, hand sanitizer, desinfektan dan tempat cuci tangan.",positif,none,none,positif,none,none
Hutan wisata punti kayu tempat wisata yang cukup bagus di tengah kota Palembang tetapi sekarang agak berkurang pengunjungnya .jangan lupa pakai masker dan ikuti protokol kesehatan covid 19.,positif,none,none,netral,none,none
"Hutan Wisata Punti Kayu terletak lebih kurang 7 km dari pusat kota dan ditetapkan sebagai hutan lindung sejak tahun 1998, dan dikelola oleh Dinas Kehutanan Provinsi Sumatera Selatan. Hutan Wisata dengan luas 50 ini juga terdapat sebuah area rekreasi keluarga serta menjadi tempat hunian monyet lokal. Tempat ini sangat cocok untuk Anda yang ingin menyegarkan pikiran pada akhir pekan. Di sini anak-anak juga bisa bermain menaiki gajah, melihat kebun binatang mini, mandi di kolam renang, atau sekedar duduk bersantai di antara pepohonan pinus. Yang lebih mengasyikkan, acapkali diadakan hiburan yang dimeriahkan oleh artis lokal maupun luar kota.",positif,none,none,positif,none,none
Hutan wisata puntikayu palembang,netral,none,none,none,none,none
hutan wisata punya pemerintah sayangnya kurang pengelolaan yang baik jadi terkesan kurang pemeliharaan,netral,none,none,negatif,none,none
Hutan wisata sebagai salah satu paru-paru kota Palembang. Perlu ditingkatkan pengelolaannya supaya menarik minat pengunjung.,netral,none,none,negatif,none,none
Hutan wisata tengah kota palembang...,netral,none,none,none,none,none
"Hutan wisata yang berada di tengah kota,bagus untuk refresing ...semoga kedepan nya semakin bagus ..",positif,none,none,positif,none,none
Hutan wisata yang berada ditengah kota Palembang. Di penuhi pohon Cemara. Ada kebun binatangnya,netral,none,none,none,none,none
"Hutan wisata yang memiliki keindahan alam, baik keindahan flora, fauna, maupun alam itu sendiri yang mempunyai corak khas untuk dimanfaatkan untuk kepentingan rekreasi dan kebudayaan.",positif,none,none,none,none,none
"Hutan wisata yg sejuk, paru paru kota Palembang... Cocok buat liburan keluarga",positif,none,none,positif,none,none
"hutan wisata, dimana kalau siang hari bisa jadi tempat rekreasi untuk warga palembang dan sekitarnya",netral,none,none,netral,none,none
Hutan wong Palembang,netral,none,none,none,none,none
"Hutan yang asri di kota Palembang, tidak jauh dari pusat kota, tempat refreshing bagi keluarga",positif,none,none,positif,none,none
Hutan yang benar2 hutan di tengah kota,netral,none,none,none,none,none
"Hutan yang berada ditengah kota palembang,,sangat sejuk",netral,none,none,positif,none,none
Hutan yang indah,positif,none,none,none,none,none
"Hutan yg berlokasi di tengah kota, banyak tempat bermain,dan nyaman untuk anak2.",positif,none,none,positif,none,none
"Hutan yg sejuk, nyaman. Toilet nya aja yg harus di perbanyak. Keseluruhan ok, buat refreshing sambil bawa makanan cocok banget. Kumpul² bareng keluarga atau teman² jg ok, wisata alam yg sejuk.",positif,netral,none,positif,none,none
Ibaratnya tempat ini seperti taman hiburan tempat wisata yang ada di Bandung. Tempat yg disukai. Bukan saja untuk orang muda tapi anak2 dan orang tua. Enaknya bareng keluarga. Keren. 🙂 …,positif,none,none,positif,none,none
Indah,none,none,none,positif,none,none
Indah dan bagus,none,none,none,positif,none,none
Indah sekali,none,none,none,positif,none,none
"Indah, bagus pemandangan serta unik wisatanya",none,none,none,positif,none,none
Indahnya adem banget,none,none,none,positif,none,none
inget waktu jalan bareng dengan dia,none,none,none,none,none,none
"Ini adalah hutan lindung yg dominan pohon pinus..ada tempat rekreasi juga berupa miniatur landmark negara lain, ada hewan2 spt burung dan aneka permainan. Perlu dibenahi lagi tpt wisata ini.",netral,none,none,negatif,none,none
Ini adalah kawasan hutan yang luas. Baik untuk piknik atau untuk anak-anak tetapi sangat tidak terawat. Sangat membutuhkan facelift.,netral,none,none,negatif,none,none
"Ini adalah tempat rekreasi dan belajar. Terdapat berbagai wahana permainan, kebun binatang dan tempat-tempat untuk berfoto. Suasana cukup nyaman.",positif,none,none,positif,none,none
Ini dingin,none,none,none,netral,none,none
"Ini kali p1 saya datang.....tempat rekreasi, tapi sayang view nya kurang menarik..sehingga pengunjungnya sepi...padahal saya datang di hari sabtu",negatif,none,none,negatif,none,none
"Ini recomended bgt buat yg pengen quality time sm keluarga. Yg mau piknik syantik, atau main flying fox. Sygnya kadang kebersihannya kurang terjaga dan toiletnya ampunn😪 …",netral,negatif,none,netral,none,none
Ini satu2nya taman wisata yang ada di kota palembang. Banyak binatang dan tanaman di dalamnya. Ayo berkunjung ke taman wisata alam punti kayu😘😍 …,positif,none,none,positif,none,none
"Ini sdh menjadi sasaran utk mudah Mudi Pacaran, dan Tempat Rekreasinya Kurang menarik.",negatif,none,none,netral,none,none
"Ini tempat paling hijau di palembang, nyaman dah",none,none,none,positif,none,none
Ini tempat pariwisata,none,none,none,netral,none,none
Ini tempat pw yg lumayan bagus.. ga rekomen untuk Poto praweding cos kemahalan. Mending sewa studio rental sekalian... Banyak menyetujui yg ganas2.. hati2 ges kalo kesini.. banyak nyamuk ahahahah,none,none,none,netral,negatif,none
Inikah Palembang,none,none,none,none,none,none
"Inilah salah satu harta karun palembang. Luasnya cukup besar, hijau dan damai, namun belum sepenuhnya dioptimalkan oleh pemerintah kita. Perlu perawatan dan perhatian khusus untuk memastikannya tersedia untuk pariwisata. Entah kenapa, tapi masyarakat palembang memang masih rendah rasa cintanya terhadap alam dan lingkungannya. Saya sangat berharap suatu saat nanti, kota kita tercinta ini bisa dioptimalkan sesuai dengan potensi yang sebenarnya. Tapi terima kasih juga kepada pemerintah yang sudah berusaha semaksimal mungkin untuk kota kita 😘",none,none,none,netral,none,none
Isinya Cuman Hutan doang.,negatif,none,none,none,none,none
Istimewa,none,none,none,positif,none,none
Istimewa 😍😍😍 …,none,none,none,positif,none,none
Itu keren,none,none,none,positif,none,none
"itu terlalu biasa dan juga tidak aman karena banyak monyet liar yang ""bermain-main"". tidak ada ""poin untuk diingat"". dengan semua layanan kami mendapat harga tiket terlalu mahal",none,none,none,negatif,negatif,none
Jadila,none,none,none,netral,none,none
Jadilah buat hiburan,none,none,none,netral,none,none
Jadilah sekali,none,none,none,netral,none,none
Jadul,none,none,none,netral,none,none
Jaga kebersihan,none,none,none,netral,none,none
Jaga baik-baik,none,none,none,netral,none,none
Jaga kebersihan,none,none,none,netral,none,none
Jalan jalan,none,none,none,netral,none,none
Jalan2 enak,none,none,none,positif,none,none
jalan-jalan keren 😂 …,none,none,none,positif,none,none
Jaman dahulu,none,none,none,none,none,none
Jangan lupa like dan comen bosku,none,none,none,none,none,none
Jarak cukup jauh dari stasiun lrt punti kayu. Banyak wahana yang patut di coba. Suasanya sangat nyaman dan asri.,positif,none,negatif,positif,none,none
"Jarang loh ada taman di kota, patut anda coba berkunjung kesana tapi sayang kuliner dan pusat oleh-olehnya di lokasi masih sangat minim",positif,negatif,none,netral,none,none
Jasa kunciboangilan,none,none,none,none,none,none
Jatuh cinta sama tempat ini,none,none,none,positif,none,none
"Jauh banget ketinggalan sama kota kota lain dari zoo, keindahan dll. Masuk nya juga cukup mahal perkepala 30rb weekend mungkin kedepan lebih bagus dan jaya lagi ya",negatif,none,none,negatif,negatif,none
Jauh dari perkiraan saya.... Tempat ini sudah berbeda dri 20tahun yang lalu... bukan lagi kebun binatang melainkan sudah menjadi taman alam...,none,none,none,netral,none,none
Jelek,none,none,none,negatif,none,none
jelek kotor,none,none,none,negatif,none,none
"Jelek, kotor, karyawan sontoloyo alias kasar, kepuasan tidak sebanding dengan pengeluaran.. Mahal sih tidak masalah asal bener2 bekwalitas.. Maaf buat pendatang, punti kayu tidak recomended buat kalian. Tks",none,none,none,negatif,none,negatif
"Jelek, nggak bagus",none,none,none,negatif,none,none
"Jelek, tidak sesuai dengan ekspektasi",none,none,none,negatif,none,none
Jgn lupa berkunjung ketempat wisata yg ada ditengah kota.,none,none,none,netral,none,none
"Jika Anda mencari tempat untuk menikmati alam, ini adalah tempat yang bagus. Cocok untuk membawa anak-anak. Datang ke sini lagi. Bawalah makanan sendiri, piknik bersama teman dan kekasih.",none,none,none,positif,none,none
"Jika Anda seorang turis, Anda membayar 100.000/tiket dan bukan alam. Bukan tempat yang bagus untuk perjalanan.",negatif,none,none,negatif,netral,none
"Jika bosan dengan mall, Anda bisa pergi ke Punti Kayu sebagai pilihan. Tempatnya oke untuk bersantai tapi kurang terawat. Lebih baik bawa makanan dan tumblr milikmu.. nanti ketemu banyak monyet, menurutku itu salah satu yang terbaik :D",positif,none,none,netral,none,none
Jika dikelola dengan baik dan benar akan menjadi tempat wisata yang menarik untuk dikunjungi,none,none,none,negatif,none,none
"Jika ingin berekreasi ditemani satwa yang menggemaskan di Palembang, disinilah tempatnya. Banyak orang berdatangan kesini utk bertamasya utk melihat keindahan alam berupa pohon pinus dan juga kera, orang hutan dll.",positif,none,none,positif,none,none
Jl arah putikayu taman hijau tanpa lengan.. Ini saya berada di depan hotel planet red,none,none,none,none,none,none
Jorok,none,none,none,negatif,none,none
Jorok dan tk terawat,none,none,none,negatif,none,none
"Jorok, tidakterawat",none,none,none,negatif,none,none
Kalau bisa jgn terlalu banyak di buat arena permainan tp reboisasi pohon2 yg sdh tua...namanya harus sesuai dengan isinya...taman wisata punti kayu...harus diperbanyak lg pohonnya agar tidak gersang kalau bisa sama seperti kebun raya Bogor...,negatif,none,none,negatif,none,none
"Kalau mau kebagian pondokan, datang lebih awal... kesiangan sedikit sdh gak kebagian.. apalagi musim liburan...",none,none,none,netral,none,none
Kalau untuk binatang tidak banyak lagi. Tapi ada replika keajaiban dunia disini. Yang mau olahraga outdoor atau outbound juga bisa. Ngadem sejenak di tengah panasnya Palembang.,netral,none,none,positif,none,none
Kalau untuk duduk dan ngobrol dengan orang2 terdekat kayak nya worth it. Tapi kalau buat wisata untuk menambah eksplorasi agak kurang recommended. Buat foto2 lumayan lah ya. Tapi tiap wahana dan ruang unik nya mesti bayar lagi... Jadi bikin sebel hehe.,netral,none,none,netral,negatif,none
Kalian,none,none,none,none,none,none
Kalo anda berharap ini kebun binatang no... Ini tempat berhala doang.. Bnyakan patung2 aja.. Tiket masuk g sebanding dgn ekspetasi... Cuma liat ayam sama musang doang,negatif,none,none,negatif,none,none
"Kalo bisa d bagusin lagi lah,,, tambahin hewannya trus tambahin juga permainannya biar ngak jenuh",negatif,none,none,negatif,none,none
"Kalo ini tempat wisata bersama keluarga nuansa alam nya sejukkk banget,. Dan bersih serta masih asli banget. Bagus deh untuk liburan akhir pekan Bersama keluarga tercinta.😘👍 …",none,none,none,positif,none,none
Kalo mau camping ala ala cocok banget disini. Mau liat kembaran kalian juga banyak. Spot foto dan liat hewan,positif,none,none,positif,none,none
"Kalo untuk acara kumpul2 sih lumayan,tempatnya luas tapi sayang kebersihannya agak kurang memuaskan..",netral,none,none,negatif,none,none
Kami dstang pagi-pagi. Sangat tidak terurus sih. Tapi ada spanduk wisata lampu di malam hari.,none,none,none,negatif,none,none
Kan mainnnnnnnnn,none,none,none,none,none,none
Kandang binatang & kolam tmpt perahu angsa krg pemeliharaan,negatif,none,none,none,none,none
"Kandang hewan banyak yg tidak terurus.dan hewan2 yg ada jg sangat tidak menarik,hanya di isi dengan ayam bebek burung kambing (di jalanan jg banyak di lihat) sedikit unik kelinci dan kucing anggora/persia,+akuarium kecil yg memuat ikat sepat dan anak gabus plus yg unik anak ikan aligator yg kurang terawat.",negatif,none,none,none,none,none
"Kapan bisa bslik lagi dg orang"" terdekat...???😉 …",none,none,none,none,none,none
Karena adem dan ada kolam renang Jadi seru deh....😊 …,positif,none,none,positif,none,none
Karena aku suka bersuasana hutan,none,none,none,positif,none,none
"Karena indah sejuk,aman dan nyaman.tapi ada sedikit kurang terawat taman wsta alm punti kayu,contoh tanaman ada yang mati ,ada terlalu rinbun,kamar mandi kusam,.",negatif,negatif,none,netral,none,none
Karena itu pencarian saya,none,none,none,none,none,none
Karena jika saya berada disana saya merasa sangat tenang dan nyaman apalagi ditambah dengan pepohonan yang ada semakin membuat sejuk,positif,none,none,positif,none,none
Karena menurut saya sih tempat nya bagus tapi Saran saya binatang nya kurang lengkap kebanyakan sih binatang patung bukan binatang buas seperti harimau nya patung bukan harimau sungguhan buaya nya sih patung Dan masih banyak yg lain,negatif,none,none,netral,none,none
Karena saya bekerja disni,none,none,none,none,none,none
Karena sekarang sdh tdk asyik seperti dulu,none,none,none,negatif,none,none
Karena tempat saya gereja,none,none,none,none,none,none
"Karena tinggal deket daerah sini, jadi temen temen selalu bilang kalau yang di dalem punti kayi semua sodara aku",none,none,none,none,none,none
Karna mudah di jangkau,none,none,positif,none,none,none
Karna mudah dijangkau dgn gocar dan grsb car,none,none,positif,none,none,none
"Karyawan dengan gaya berbahasa kurang jelas, sehingga terjadi kebingungan",none,none,none,none,none,negatif
"Kasihan hewan "" kurus""",negatif,none,none,none,none,none
"Katek apo2,masuk parkir mobil diminta 50rb",none,none,none,negatif,netral,none
Kawasan hutan asri kota palembang,none,none,none,positif,none,none
"Kawasan kunjungan kumuh tidak terawat , banyak tanaman liar gak di bersihkan",none,none,none,negatif,none,none
"Kawasan wisata alam di tengah kota Palembang. Banyak monyet & ada beberapa anjing liar di dalamnya, tapi mereka ngga galak, bahkan malu"" & ngga berani mendekat ke manusia kecuali di kasih makan. Sayangnya beberapa bagian taman tidak ter rawat",netral,none,none,negatif,none,none
Kawasan wisata keluarga berbasis alam hutan Pinus,netral,none,none,netral,none,none
Ke belakang,none,none,none,none,none,none
"Keasrian oke,tp dari segi kebersihan kurang,pengawas kurang memperhatikan pengunjung,banyak sarana yang sdh tidak layak pakai....",none,negatif,none,netral,none,negatif
"Kebanyakan orang pacaran dan wisatanya gak semenarik wisata buatan di daerah Jawa. Mungkin pengelolanya kurang kreatif atau wisata di sini tidak dikelola oleh pemerintah daerah. Dimana maju wisata sini, coba contoh wisata di Jawa yang rata-rata dikelola oleh tangan kreatif serta pemerintah daerahnya.",negatif,none,none,negatif,none,none
"Kebershan masih kurang,masih perlu ditingkatkan pelayanan nya....",none,none,none,negatif,none,none
Kebersihan dan pengelolaan binatang peliharaannya sangat minim,negatif,none,none,negatif,none,none
"Kebersihan dan tata kelola yg belum optimal... Sampah berserakan, terutama di kolam renang, air tidak berganti, tempat ganti pakaian yg minim air, petugas pengawas tidak ada...harus ditingkatkan....",negatif,negatif,none,negatif,none,negatif
Kebersihan keamanan perlu di tingkatkan,none,none,none,negatif,none,none
Kebersihannya sangat kurang,none,none,none,negatif,none,none
Kebun binatang banyak monyetnya,netral,none,none,none,none,none
"Kebun binatang ny sekarang sudah sepi ,,,,",negatif,none,none,none,none,none
"Kebun binatang nya seharusnya jadi prioritas bukannya dikecilin lihat semua satwa nya pada menderita, buat apa dibikin tempat replika signature negri orang",negatif,none,none,negatif,none,none
"Kebun binatangnya sudah tidak terawat lagi,bukan mengalami kemajuan malah lebih bagus zaman dulu untuk kebun binatangnya...",negatif,none,none,negatif,none,none
"Kebun raya ala-alanya Palembang, tapi kurang worth it. Tiketnya kemahalan, fasilitas juga minim. Parkirnya berantakan (mobil dan motor bisa masuk) Perlu diperbaiki biar jadi favorit wong pelembang",netral,negatif,none,negatif,negatif,none
Kecapekan kepanasan dan kehujanan disini..mengecewakan alias cugak 😭 …,none,none,none,negatif,none,none
kecewa. kirain bagus. tmptnya kotor bner2 tak terawat.,none,none,none,negatif,none,none
Keliling dunia hanya 10ribu rupiah.. 😂 …,none,none,none,none,positif,none
"Kemaren aku kesano prewedding, bayar lah mahal beda lagi kalo nak prewedding samo perkepala dihitung lagi yg ikut masuk, mahal disni dk sesuai fasilitas rumput ny serut niannn. Terus pas nak masuk ke jembatan gantung aku disegak bibik"" yang jual makanan, dak boleh bawak masuk makanan ke dalem view jembatan gantung dan danau perahu itu. ""Baco oi besak tulisan tu kautu baco "" ck itu uji bibik itu. Sampe tekeluar urat leher dgn tejelit biji mato. Ckini ye itukan venue, mmg ad tempat makanny tapi salah dio ck itu. harus ny dio tempel di warung dio tulisan it bukan di gerbang venue. kecuali aku nak numpang duduk diwarung bibik it bawak makanan dewek baru dak boleh. Harusny baek"" bae ngomng kami galak tulah masih minum kopi di warung dio cuma belom ap"" la keno sembor wkwk berenti",none,negatif,none,negatif,negatif,negatif
"Kemaren tempatnya kyk gk di urusi, tempat"" tertentu tak terurus, dan masih banyak sampah",none,none,none,negatif,none,none
"Kemarin (30 Okt 2020) biaya masuk untuk 1 orang pengunjung Rp. 30.000,- parkir Rp. 5.000,- trus di kasih tiket yg ada keterangan harga Rp. 7.500,- kan bingung jadinya. Untuk tempatnya cukup bersih.",none,none,none,netral,negatif,none
Kembali ke alam,netral,none,none,none,none,none
kembali ke alam...,netral,none,none,none,none,none
Kenangan indah,none,none,none,none,none,none
Kenangan masa muda,none,none,none,none,none,none
Kereen punti kayu makin tertata,none,none,none,positif,none,none
kereenn,none,none,none,positif,none,none
Keren,none,none,none,positif,none,none
Keren banget,none,none,none,positif,none,none
keren banget...banyak spot foto yang bagus.,positif,none,none,positif,none,none
Keren cocok untuk getring,none,none,none,positif,none,none
Keren dan indah,none,none,none,positif,none,none
Keren monyet nya banyak,netral,none,none,positif,none,none
Keren replikanya,positif,none,none,none,none,none
Keren tempat nya sejuk cuma kurang perawatan mungkin karena pendemi kemarin,none,none,none,netral,none,none
Keren tempatnya banyak pohon,positif,none,none,positif,none,none
Keren tempatnya sejuk ❤️❤️❤️,none,none,none,positif,none,none
Keren tinggal perawatn yg kurang,none,none,none,netral,none,none
"Keren, ada taman bermain, spott foto keren, instagramable pokoknya..",positif,none,none,positif,none,none
"keren, banyak tempat wisatanya",positif,none,none,positif,none,none
"Keren, cantik",none,none,none,positif,none,none
"Keren, lebih dirawat lagi ya.",none,none,none,netral,none,none
"Keren, tapi kurang terawat",none,none,none,netral,none,none
Keren... Pa lg wisata air nya...,netral,none,none,none,none,none
"Kerena hutan nya yg bagus, dan wahana nya yg bagus ...",positif,none,none,positif,none,none
kerennn.....,none,none,none,positif,none,none
Kesini aja tempat yg tenang,none,none,none,positif,none,none
Kesini karena rindu Beda suasananya dari yg dulu Faunanya kurang terawat dan tidak banyak Untuk tiket masuk boleh di xcek langsung Plusnya banyak spot foto baru dan arena outbond tapi tidak bisa digunain Harapannya lebih diperhatikan dan dilestarikan kembali,netral,none,none,negatif,none,none
Klo mau foto2 okelah.. tapi jangan bawa makanan karena mengundang monyet2 datang,none,none,none,netral,none,none
Kok masih ada ya taman sejelek ini,none,none,none,negatif,none,none
Kolam renang Taman burung dan satwa Replika ikon negara …,netral,none,none,none,none,none
"Kondisi PK skr memprihatinkan, tiket masuk sdh termasuk biaya wahana dan permainan, tp ketika didalam tdk ada satupun wahana yg dibuka, mesin tampak rusak tdk terawat tdk ada operatornya, kebun binatang yg dipelihara pun sdh sangat sedikit, cukup mengecewakan bagi wisatawan yg dtg, alhasil dtg cm foto2 sekedarnya",negatif,none,none,negatif,netral,none
"Kondisi tempat sedikit berantakan, kebun binatangnya tidak terurus, banyak hewan mati dan berantakan hewannya terlihat kurus dan kurang makan",negatif,none,none,negatif,none,none
Konsep hutan pinusnya bagus...sayang kurang perawatan,none,none,none,netral,none,none
Konsepnya msh abu2x,none,none,none,netral,none,none
Kotor,none,none,none,negatif,none,none
Kotor dan tdk terawat,none,none,none,negatif,none,none
Kotor masuk parkiran mahal pengunjung blm masuk di tagih parkir yg mahal kadang kecewa expektasi alam yg bersih ternyata kotor,none,none,none,negatif,negatif,none
Kotor tidak terawat monyet nya liar suka cakar,negatif,none,none,negatif,none,none
Krn,none,none,none,none,none,none
"Kudanya stress, kelinci2nya kelaparan, kucing2nya terluka, monyet2nya stress, kandang2nya terlalu sempit, kotor, pakannya nol, hewan2 kelaparan. Beberapa oengunjung jg mengaku sedih melihat hewan2nya. Mohon perhatikanlagi perawatannya.",negatif,none,none,negatif,none,none
Kumuh,none,none,none,negatif,none,none
"Kunjungan sebelumnya 2 tahun lalu saya kesini. Pas akhir tahun kemarin kesini, agak kecewa. Tempatnya kotor, beberapa tempat seperti tidak terpelihara. Kasihan hewan disana seperti kelaparan. Ada hewan yang sepertinya sakit. Mungkin perawatannya bisa lebih ditingkatkan.",negatif,none,none,negatif,none,none
"kurang bagus untuk wisata alam,karna sudah banyak sampah,",none,none,none,negatif,none,none
Kurang baik dr fasilitas nya,none,negatif,none,none,none,none
Kurang banyak pemandangan hewan,negatif,none,none,none,none,none
Kurang banyak wahana dan hewan satwanya,negatif,none,none,none,none,none
Kurang berkesan..taman tempat tidak terurus. . .masuk gerbang nya saja..hari biasa 10rb. Di dalam bayar lagi.. Mencari keuntungan saja.tidak.. Memprioritaskan keindahan,negatif,none,none,negatif,negatif,none
Kurang bersih,none,none,none,negatif,none,none
Kurang bersih dan perlu banyak perawatan hewan,negatif,none,none,negatif,none,none
Kurang di kelola saja. Jembatan ini kayu lantai nya sudah waktunya di ganti...,negatif,none,none,negatif,none,none
Kurang di perhatikan lagi,none,none,none,negatif,none,none
Kurang di rawat..,none,none,none,negatif,none,none
Kurang dikelolah dengan baik,none,none,none,negatif,none,none
Kurang dirawat,none,none,none,negatif,none,none
Kurang dirawat. Sayang banget tempatnya. Harus dikelola oleh swasta,none,none,none,negatif,none,none
Kurang ditata dan dikembangkan lagi,none,none,none,negatif,none,none
"Kurang kebersihan, jalan conblok nya licin, banyak pengunjung terjatuh",none,negatif,none,negatif,none,none
Kurang lengkap binatang nya sekarang,negatif,none,none,none,none,none
Kurang memuaskan di banding bandung malang jkt lampung tempat wisata nya,none,none,none,negatif,none,none
Kurang menarik,negatif,none,none,none,none,none
"Kurang menarik krn kotor, permainan rusak semua, fasilitas kurang untuk harga tiket lebaran n hri libur kurang memuaskan",negatif,none,none,negatif,negatif,none
"Kurang menarik, ad beberapa objek wisata yang sudah lumutan dan warna nya pudar, tidak ad objek yg menjadi daya tarik utama, belum lagi di beberapa titik ada sampah yang d buang sembarangan,",negatif,none,none,negatif,none,none
kurang menarik.,negatif,none,none,none,none,none
Kurang meriah+ hoburan,negatif,none,none,none,none,none
"Kurang nyaman, banyak monyet liar. Tempat untuk duduk2 kurang",negatif,negatif,none,negatif,none,none
Kurang penataan,none,none,none,negatif,none,none
kurang pengelolaan,none,none,none,negatif,none,none
kurang perawatan,none,none,none,negatif,none,none
"Kurang perawatan, hewan nya sedikit",negatif,none,none,negatif,none,none
kurang perawatan.,none,none,none,negatif,none,none
Kurang perhatian dari pengelola,none,none,none,negatif,none,none
"Kurang satwa di dalamnya , dan dinas terkait lebih aktif LG untuk mempromosikan taman hutan Pinus elok di Palembang",negatif,none,none,negatif,none,none
Kurang terawat,none,none,none,negatif,none,none
Kurang terawat aj tmpt ny,none,none,none,negatif,none,none
Kurang terawat aja sih,none,none,none,negatif,none,none
kurang terawat banyak rumput liar dan kotor,none,none,none,negatif,none,none
kurang terawat dan fasilitas kurang memadai,none,negatif,none,negatif,none,none
Kurang terawat dan sedikit macam faunanya,negatif,none,none,negatif,none,none
kurang terawat euy,none,none,none,negatif,none,none
Kurang terawat faslitas ny,none,none,none,negatif,none,none
Kurang terawat jadi cukup mahal dengan biaya tiket masuk,none,none,none,negatif,negatif,none
Kurang terawat kebersihannya dan mayoritas binatangnya palsu alias patung plastik,negatif,none,none,negatif,none,none
Kurang terawat lagi dan kurang wahana,negatif,none,none,negatif,none,none
